filename,start,end,word
fs-sts6ee76af27d348be90f29df3ecd0dde3b.pose,0,4360,a
fs-sts09f327110bfd96bb04208933cb79c41f.pose,0,4640,b
fs-sts70407610bca0793a16570cd6defed3be.pose,0,3480,bb
fs-sts4f18e9dd1facd781188f02040d4a09ce.pose,0,4840,c
fs-stse4711f8280af481fdc02ff63dce86d15.pose,0,3200,cc
fs-sts3f9810e585ca5ba2c09c62ccd98a56a2.pose,0,5160,d
fs-sts08486512296e51483a8d795bf1d90616.pose,0,3280,dd
fs-stse9b71b109c8337d7a047f5f6f4fe3b1d.pose,0,5240,e
fs-sts0ce6be294d9fee9db3a5381d90e8fc08.pose,0,5040,f
fs-sts053ad4bfb3816c394d7f1965cf89087e.pose,0,3560,ff
fs-sts520cc4401dd0135766f010e36fda930d.pose,0,5200,g
fs-sts45629d68b0e8c314fed13aa846b1d727.pose,0,3840,gg
fs-stsfcacc1920442b96a6d3574ffec1129db.pose,0,5120,h
fs-sts884492a7681021dfef0764d59f157664.pose,0,5200,i
fs-sts70aed0e4598e8793606c09f46e1d7e15.pose,0,5040,j
fs-sts71754b98d2ebae580d46b484dc966bee.pose,0,5560,k
fs-sts7112bd2cde5a6ebe39c09307143616da.pose,0,5200,l
fs-sts6f928b982c570b4896f26b3c209e620f.pose,0,2760,ll
fs-sts08fbbb3645768679857d8c480742bc6a.pose,0,5680,m
fs-sts8a34f62dfac063ad652be254935377a7.pose,0,3320,mm
fs-sts33b12f0804ce9e9fab2b7de0f9fcabee.pose,0,5480,n
fs-sts081ad0a202aef885d121977278122637.pose,0,2680,nn
fs-stse3a9b72292f0db7b3d088f501a8eb83f.pose,0,5160,o
fs-sts3b6d963028ceaf806c8f899c0e89b139.pose,0,5520,p
fs-sts3186cc1e92af7205160084f188c2e4ab.pose,0,3040,pp
fs-stsb8d68d2badddfc1a49eae492ae4ee9f7.pose,0,5080,q
fs-stsc748a5a78eaf4ffbc7e5e08d386017c6.pose,0,5120,r
fs-sts33a271498e4fa90124164cd65e9a88e9.pose,0,3360,rr
fs-sts0697c421f159a2c3e636eca4909774f0.pose,0,5200,s
fs-sts0d88f32fd6575f93e82fd11dbdba7dae.pose,0,2920,ss
fs-sts18c98bcfee6e59b08f2cc36775b42c76.pose,0,5320,t
fs-stsdc50aaf4175c423789ba6baf59880dbf.pose,0,2680,tt
fs-sts4c0ad696334c07523ca9c277da3d9ce3.pose,0,5120,u
fs-sts6154491c8257dfb8e37d5bfda7859a68.pose,0,5200,v
fs-stsbbe6d96fdd50adf7a8dd86b63d415b6e.pose,0,3520,vv
fs-sts9f5593b5c0d9d7018177d9042f188c98.pose,0,4880,w
fs-sts702f7ac0fbea463bab92992770960338.pose,0,5600,x
fs-sts6545a22e557ff8407edfa962dc21c3ae.pose,0,4720,y
fs-sts6e7e92276139a75010aaf95640c4ee52.pose,0,5280,z
fs-sts7cfbf85d9a8ce8d3587831bb7ee63bbe.pose,0,3720,zz
